t,v,r
147.000000,47870.000003,57909000002.777412
148.000000,47870.000003,57909000002.795410
149.000000,47870.000003,57909000002.813377
150.000000,47870.000003,57909000002.831345
151.000000,47870.000003,57909000002.849297
152.000000,47870.000003,57909000002.867241
153.000000,47870.000003,57909000002.885170
154.000000,47870.000003,57909000002.903091
155.000000,47870.000003,57909000002.920990
156.000000,47870.000003,57909000002.938881
157.000000,47870.000003,57909000002.956764
158.000000,47870.000003,57909000002.974632
159.000000,47870.000003,57909000002.992493
160.000000,47870.000003,57909000003.010338
161.000000,47870.000003,57909000003.028168
162.000000,47870.000003,57909000003.045982
163.000000,47870.000003,57909000003.063797
164.000000,47870.000003,57909000003.081589
165.000000,47870.000003,57909000003.099365
166.000000,47870.000003,57909000003.117142
167.000000,47870.000003,57909000003.134895
168.000000,47870.000003,57909000003.152649
169.000000,47870.000003,57909000003.170380
170.000000,47870.000003,57909000003.188095
171.000000,47870.000003,57909000003.205803
172.000000,47870.000003,57909000003.223503
173.000000,47870.000003,57909000003.241188
174.000000,47870.000003,57909000003.258858
175.000000,47870.000003,57909000003.276520
176.000000,47870.000003,57909000003.294167
177.000000,47870.000003,57909000003.311806
178.000000,47870.000003,57909000003.329422
179.000000,47870.000003,57909000003.347038
180.000000,47870.000003,57909000003.364639
181.000000,47870.000003,57909000003.382233
182.000000,47870.000003,57909000003.399803
183.000000,47870.000003,57909000003.417358
184.000000,47870.000003,57909000003.434921
185.000000,47870.000003,57909000003.452454
186.000000,47870.000003,57909000003.469978
187.000000,47870.000003,57909000003.487495
188.000000,47870.000003,57909000003.504997
189.000000,47870.000003,57909000003.522484
190.000000,47870.000003,57909000003.539963
191.000000,47870.000003,57909000003.557426
192.000000,47870.000003,57909000003.574875
193.000000,47870.000003,57909000003.592316
194.000000,47870.000003,57909000003.609741
195.000000,47870.000003,57909000003.627167
196.000000,47870.000003,57909000003.644569
197.000000,47870.000003,57909000003.661957
198.000000,47870.000003,57909000003.679337
199.000000,47870.000003,57909000003.696701
200.000000,47870.000003,57909000003.714058
201.000000,47870.000003,57909000003.731400
202.000000,47870.000003,57909000003.748734
203.000000,47870.000004,57909000003.766052
204.000000,47870.000004,57909000003.783348
205.000000,47870.000004,57909000003.800652
206.000000,47870.000004,57909000003.817924
207.000000,47870.000004,57909000003.835205
208.000000,47870.000004,57909000003.852455
209.000000,47870.000004,57909000003.869698
210.000000,47870.000004,57909000003.886940
211.000000,47870.000004,57909000003.904167
212.000000,47870.000004,57909000003.921364
213.000000,47870.000004,57909000003.938560
214.000000,47870.000004,57909000003.955750
215.000000,47870.000004,57909000003.972923
216.000000,47870.000004,57909000003.990082
217.000000,47870.000004,57909000004.007233
218.000000,47870.000004,57909000004.024361
219.000000,47870.000004,57909000004.041481
220.000000,47870.000004,57909000004.058594
221.000000,47870.000004,57909000004.075691
222.000000,47870.000004,57909000004.092773
223.000000,47870.000004,57909000004.109848
224.000000,47870.000004,57909000004.126907
225.000000,47870.000004,57909000004.143967
226.000000,47870.000004,57909000004.161003
227.000000,47870.000004,57909000004.178024
228.000000,47870.000004,57909000004.195038
229.000000,47870.000004,57909000004.212036
230.000000,47870.000004,57909000004.229027
231.000000,47870.000004,57909000004.246002
232.000000,47870.000004,57909000004.262962
233.000000,47870.000004,57909000004.279915
234.000000,47870.000004,57909000004.296860
235.000000,47870.000004,57909000004.313782
236.000000,47870.000004,57909000004.330696
237.000000,47870.000004,57909000004.347610
238.000000,47870.000004,57909000004.364494
239.000000,47870.000004,57909000004.381378
240.000000,47870.000004,57909000004.398247
241.000000,47870.000004,57909000004.415100
242.000000,47870.000004,57909000004.431938
243.000000,47870.000004,57909000004.448769
244.000000,47870.000004,57909000004.465584
245.000000,47870.000004,57909000004.482391
246.000000,47870.000004,57909000004.499184
247.000000,47870.000004,57909000004.515961
248.000000,47870.000004,57909000004.532730
249.000000,47870.000004,57909000004.549492
250.000000,47870.000004,57909000004.566231
251.000000,47870.000004,57909000004.582962
252.000000,47870.000004,57909000004.599678
253.000000,47870.000004,57909000004.616394
254.000000,47870.000004,57909000004.633080
255.000000,47870.000004,57909000004.649765
256.000000,47870.000004,57909000004.666435
257.000000,47870.000005,57909000004.683105
258.000000,47870.000005,57909000004.699738
259.000000,47870.000005,57909000004.716377
260.000000,47870.000005,57909000004.733002
261.000000,47870.000005,57909000004.749619
262.000000,47870.000005,57909000004.766205
263.000000,47870.000005,57909000004.782791
264.000000,47870.000005,57909000004.799370
265.000000,47870.000005,57909000004.815933
266.000000,47870.000005,57909000004.832481
267.000000,47870.000005,57909000004.849007
268.000000,47870.000005,57909000004.865547
269.000000,47870.000005,57909000004.882057
270.000000,47870.000005,57909000004.898552
271.000000,47870.000005,57909000004.915039
272.000000,47870.000005,57909000004.931519
273.000000,47870.000005,57909000004.947983
274.000000,47870.000005,57909000004.964424
275.000000,47870.000005,57909000004.980865
276.000000,47870.000005,57909000004.997299
277.000000,47870.000005,57909000005.013710
278.000000,47870.000005,57909000005.030106
279.000000,47870.000005,57909000005.046501
280.000000,47870.000005,57909000005.062874
281.000000,47870.000005,57909000005.079239
282.000000,47870.000005,57909000005.095596
283.000000,47870.000005,57909000005.111931
